CORP,CORP_NAME,SCHL_NAME_CODE,SCHL_NAME,ENR_ELL_N,ENR_ELL_RATIO,ENR_SPEC_ED_N,ENR_SPEC_ED_RATIO,ENROLLMENT_N
1560,Sunman-Dearborn Com Sch Corp,7211,Sunman Elementary School,3,0.75%,71,17.84%,398
1560,Sunman-Dearborn Com Sch Corp,7213,East Central High School,5,0.38%,175,13.36%,1310
1600,South Dearborn Community Sch Corp,,,3,0.12%,508,20.05%,2534
1600,South Dearborn Community Sch Corp,1141,Dillsboro Elementary School,0,0.00%,38,16.45%,231
1600,South Dearborn Community Sch Corp,1165,Manchester Elementary School,0,0.00%,48,17.91%,268
1600,South Dearborn Community Sch Corp,1169,Moores Hill Elementary School,0,0.00%,43,26.06%,165
1600,South Dearborn Community Sch Corp,1172,South Dearborn Middle School,1,0.24%,76,18.36%,414
1600,South Dearborn Community Sch Corp,1179,South Dearborn High School,2,0.23%,164,18.55%,884
1600,South Dearborn Community Sch Corp,1197,Aurora Elementary School,0,0.00%,139,24.30%,572
1620,Lawrenceburg Community School Corp,,,9,0.44%,324,15.98%,2028
1620,Lawrenceburg Community School Corp,1177,Lawrenceburg High School,3,0.48%,97,15.65%,620
1620,Lawrenceburg Community School Corp,1209,Greendale Middle School,3,0.65%,78,16.77%,465
1620,Lawrenceburg Community School Corp,1210,Lawrenceburg Primary School,3,0.60%,78,15.73%,496
1620,Lawrenceburg Community School Corp,1217,Central Elementary School,0,0.00%,71,15.88%,447
1655,Decatur County Community Schools,,,5,0.25%,363,18.33%,1980
1655,Decatur County Community Schools,1263,South Decatur Jr-Sr High School,0,0.00%,90,18.83%,478
1655,Decatur County Community Schools,1265,South Decatur Elementary School,2,0.45%,99,22.10%,448
1655,Decatur County Community Schools,1266,North Decatur Elementary School,0,0.00%,102,18.51%,551
1655,Decatur County Community Schools,1267,North Decatur Jr-Sr High School,3,0.60%,72,14.31%,503
1730,Greensburg Community Schools,,,19,0.85%,358,15.93%,2248
1730,Greensburg Community Schools,1268,Greensburg Community High School,4,0.53%,99,13.20%,750
1730,Greensburg Community Schools,1269,Greensburg Community Jr High,5,0.98%,86,16.83%,511
1730,Greensburg Community Schools,1270,Greensburg Elementary,10,1.01%,173,17.53%,987
1805,DeKalb Co Eastern Com Sch Dist,,,10,0.76%,226,17.15%,1318
